iter	Passed	Remaining
0	1	185
1	3	152
2	4	140
3	5	137
4	7	134
5	8	132
6	9	129
7	10	126
8	12	123
9	13	120
10	14	119
11	16	120
12	17	118
13	19	120
14	20	117
15	21	114
16	22	112
17	24	109
18	25	107
19	26	105
20	27	104
21	28	102
22	30	101
23	31	99
24	32	97
25	33	96
26	34	94
27	36	93
28	37	91
29	38	89
30	39	88
31	40	86
32	42	85
33	43	84
34	44	82
35	45	81
36	47	80
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	56	68
45	57	67
46	58	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	50
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	83	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	121	1
99	122	0
