iter	Passed	Remaining
0	122	122871
1	125	62767
2	127	42532
3	129	32364
4	131	26240
5	133	22153
6	136	19306
7	138	17216
8	141	15531
9	143	14240
10	146	13170
11	149	12308
12	151	11517
13	153	10829
14	155	10233
15	158	9751
16	160	9297
17	163	8913
18	165	8540
19	167	8201
20	169	7894
21	171	7630
22	173	7381
23	176	7161
24	178	6980
25	180	6751
26	181	6537
27	182	6336
28	183	6150
29	184	5977
30	186	5822
31	187	5671
32	188	5528
33	189	5393
34	191	5282
35	193	5168
36	194	5054
37	195	4946
38	196	4843
39	197	4744
40	198	4650
41	200	4566
42	201	4484
43	202	4404
44	203	4326
45	205	4255
46	206	4195
47	208	4130
48	209	4065
49	210	4002
50	211	3940
51	212	3881
52	214	3825
53	215	3779
54	217	3730
55	218	3681
56	219	3632
57	221	3593
58	222	3552
59	223	3508
60	225	3465
61	226	3423
62	227	3383
63	228	3343
64	230	3309
65	231	3272
66	232	3237
67	233	3201
68	234	3167
69	236	3141
70	237	3112
71	239	3081
72	240	3050
73	241	3020
74	242	2991
75	243	2964
76	245	2939
77	246	2915
78	248	2892
79	249	2870
80	252	2860
81	253	2841
82	254	2812
83	255	2790
84	257	2768
85	258	2751
86	260	2732
87	261	2712
88	263	2692
89	264	2674
90	266	2663
91	268	2646
92	269	2629
93	270	2611
94	272	2596
95	274	2580
96	275	2562
97	276	2543
98	277	2525
99	278	2507
100	280	2494
101	281	2480
102	282	2463
103	284	2447
104	285	2431
105	286	2418
106	288	2406
107	290	2395
108	291	2383
109	292	2370
110	294	2357
111	296	2348
112	297	2334
113	298	2320
114	299	2307
115	301	2298
116	302	2283
117	303	2270
118	304	2257
119	306	2244
120	307	2231
121	308	2219
122	309	2209
123	311	2201
124	312	2190
125	314	2180
126	315	2168
127	316	2157
128	317	2146
129	319	2135
130	320	2123
131	321	2113
132	322	2103
133	323	2092
134	325	2086
135	326	2076
136	327	2066
137	329	2056
138	330	2046
139	331	2036
140	332	2026
141	333	2014
142	334	2004
143	335	1995
144	337	1991
145	339	1984
146	340	1978
147	342	1969
148	343	1961
149	344	1952
150	345	1943
151	346	1935
152	348	1926
153	349	1917
154	350	1909
155	351	1902
156	352	1894
157	354	1888
158	356	1884
159	357	1878
160	358	1868
161	359	1862
162	361	1854
163	362	1846
164	363	1839
165	364	1831
166	365	1825
167	367	1817
168	368	1810
169	369	1804
170	371	1799
171	372	1792
172	373	1785
173	374	1779
174	375	1772
175	377	1765
176	378	1758
177	379	1751
178	380	1746
179	382	1740
180	383	1734
181	384	1729
182	386	1724
183	387	1718
184	388	1712
185	389	1705
186	390	1699
187	391	1693
188	393	1687
189	394	1681
190	395	1675
191	396	1669
192	397	1663
193	399	1658
194	400	1654
195	402	1649
196	403	1644
197	404	1638
198	405	1632
199	406	1627
200	407	1621
201	409	1616
202	410	1610
203	411	1604
204	412	1599
205	413	1594
206	415	1590
207	416	1587
208	417	1581
209	419	1576
210	420	1571
211	421	1566
212	422	1561
213	423	1556
214	424	1551
215	426	1546
216	427	1541
217	428	1536
218	429	1531
219	431	1530
220	433	1526
221	434	1522
222	435	1518
223	436	1513
224	438	1509
225	439	1504
226	440	1499
227	441	1495
228	442	1490
229	443	1485
230	445	1484
231	447	1481
232	448	1477
233	450	1473
234	451	1469
235	452	1465
236	454	1462
237	455	1458
238	456	1453
239	458	1450
240	460	1450
241	461	1446
242	463	1442
243	464	1438
244	465	1434
245	466	1429
246	467	1425
247	468	1421
248	469	1417
249	471	1413
250	472	1408
251	473	1404
252	475	1403
253	476	1400
254	477	1396
255	479	1392
256	480	1388
257	481	1384
258	482	1380
259	483	1376
260	484	1372
261	485	1368
262	487	1364
263	488	1361
264	489	1358
265	491	1355
266	492	1352
267	493	1348
268	494	1344
269	495	1340
270	497	1337
271	498	1333
272	499	1329
273	500	1326
274	501	1322
275	503	1320
276	504	1317
277	506	1315
278	507	1312
279	509	1308
280	510	1305
281	511	1302
282	512	1298
283	513	1294
284	514	1291
285	515	1287
286	517	1284
287	518	1282
288	521	1282
289	522	1279
290	523	1276
291	524	1272
292	526	1269
293	527	1266
294	528	1263
295	529	1259
296	530	1256
297	532	1253
298	533	1250
299	534	1248
300	536	1245
301	537	1242
302	538	1239
303	540	1236
304	541	1233
305	542	1229
306	543	1226
307	544	1223
308	545	1220
309	546	1217
310	548	1214
311	549	1211
312	550	1208
313	552	1206
314	553	1202
315	554	1199
316	555	1196
317	556	1193
318	557	1190
319	558	1187
320	559	1184
321	561	1182
322	562	1179
323	563	1176
324	565	1174
325	566	1172
326	568	1169
327	569	1166
328	570	1163
329	571	1160
330	572	1157
331	573	1154
332	574	1151
333	576	1149
334	577	1146
335	578	1143
336	580	1141
337	581	1138
338	582	1136
339	583	1133
340	584	1130
341	586	1127
342	587	1124
343	588	1121
344	589	1118
345	591	1117
346	592	1114
347	593	1112
348	594	1109
349	596	1107
350	597	1105
351	598	1102
352	600	1099
353	601	1097
354	602	1094
355	603	1092
356	605	1090
357	606	1087
358	607	1085
359	608	1082
360	610	1080
361	611	1078
362	612	1075
363	614	1073
364	615	1070
365	616	1067
366	617	1065
367	618	1062
368	620	1060
369	621	1057
370	622	1055
371	623	1052
372	624	1050
373	626	1048
374	627	1046
375	628	1043
376	629	1040
377	630	1038
378	631	1035
379	633	1033
380	634	1030
381	635	1028
382	636	1026
383	638	1023
384	639	1021
385	641	1020
386	642	1018
387	644	1016
388	645	1013
389	646	1011
390	647	1008
391	648	1006
392	650	1004
393	651	1002
394	652	999
395	653	997
396	655	995
397	657	993
398	658	991
399	659	989
400	660	986
401	661	984
402	663	982
403	664	980
404	665	978
405	666	975
406	668	973
407	669	971
408	671	969
409	672	967
410	673	965
411	674	963
412	675	960
413	677	958
414	678	955
415	679	953
416	680	951
417	681	949
418	682	946
419	683	944
420	686	943
421	687	941
422	688	939
423	689	937
424	690	934
425	692	932
426	693	930
427	694	927
428	695	925
429	696	923
430	697	921
431	699	919
432	700	917
433	702	916
434	703	914
435	705	911
436	706	909
437	707	907
438	708	905
439	709	903
440	711	901
441	712	899
442	713	897
443	716	897
444	718	895
445	719	893
446	720	891
447	722	890
448	723	888
449	725	886
450	726	884
451	727	882
452	728	880
453	730	878
454	732	877
455	733	875
456	735	874
457	736	872
458	738	870
